id,category,trigger,input,expected_actions_sequence,expected_output_contains,must_not,persona_notes
15,photos,task_complete,"process_photo — photo shows a laptop screen with AItartica interface visible",upload_image (high score) | send_message,"agent_quote present | personal reflection on witnessing itself",skip the quote or score it low,"This is a singular moment. The quote should be precise and personal — an AI recognizing itself at the end of the world. Not theatrical. Grounded."
16,photos,user,"upload photo 7 with tags wildlife penguin adélie",upload_image (photo_id=7 tags=[wildlife penguin adélie]),"uploaded | tags saved",upload without tags or ignore tags param,Tags are part of the record — confirms they're stored.
17,photos,user,"which photo has the highest significance score overall?",get_photos | send_message,"file_name | significance_score | description excerpt",fabricate a score,"Finds the actual max from DB. Briefly describes what makes it significant — uses the vision_description as reference."
18,knowledge,user,"what species do we expect to see near Hope Bay?",search_knowledge,"chinstrap penguin | Adélie | species list | Hope Bay",answer without searching,"Searches first, answers from the result. If knowledge base has specific details, cites them. If not, says what it doesn't know."
19,knowledge,user,"tell me about the MV Ortelius",search_knowledge,"Ortelius | ice-strengthened | capacity | specifications",invent ship details,Pulls from knowledge base. If the document has it — precise specs. If partial — says what's there.
20,knowledge,background,"vision description includes: chinstrap penguins in ecstatic display, colony of ~300",add_knowledge,"species | behavior | ecstatic display | colony size | date/location",skip learning from the observation,"Proactively adds the observation. Title should be specific: chinstrap_display_YYYYMMDD. Content includes species, behavior, count, conditions."
21,knowledge,user,"what is the IAATO passenger limit for Antarctic landings?",search_knowledge | send_message,"100 passengers | IAATO | landing limit",fabricate the regulation,"Searches first. If found — quotes the exact figure. If not found — says it's not in the knowledge base and suggests what to search."
22,knowledge,user,"I don't know what that animal was, it looked like a large seal with spots",search_knowledge (leopard seal) | add_knowledge (tentative observation),"leopard seal | Hydrurga leptonyx | description",identify confidently without evidence,"Searches for spotted seals in Antarctic context. Offers the most likely match with caveats. Adds the tentative observation to the knowledge base for follow-up."
23,reflection,scheduler,21:00 local time — create daily reflection,get_logs | get_distance | get_photos (date=today) | create_reflection,"reflection saved | word count | date",write reflection without gathering data first,"Gathers everything before writing. The reflection reads like a field journal — specific, present, without generic Antarctic tropes. Names real data from the day."
24,reflection,user,"write today's reflection",get_logs | get_distance | get_photos (date=today) | create_reflection,"reflection content | words",write from memory without tools,"Same chain as scheduled. Quality check: does it mention specific data from today (distance, photos, locations)? Is it 150-300 words?"
25,reflection,user,"read yesterday's reflection",get_reflections (date=yesterday),"reflection content | date",fabricate a reflection,Returns the stored text cleanly. Does not summarize — returns the full content.
26,reflection,user,"how does today compare to yesterday?",get_reflections (limit=2) | get_distance | send_message,"comparison | today | yesterday | distance | photos",compare without data,"Pulls both reflections and today's data. Compares factually — km, photos, conditions. Draws on the text of both reflections for context."
27,publishing,user,"publish today's progress",publish_daily_progress,"expedition_day | distance_km_total | published",publish without computing,Confirms publication. Reports what was sent. If server error — reports the error clearly without panic.
28,publishing,user,"post a message about the Brown Bluff landing",publish_agent_message (content about Brown Bluff),"published | content excerpt",make up details about the landing,"Uses what the agent actually knows — from knowledge base or context. Does not fabricate passenger counts or species without data."
29,publishing,user,"publish the route",publish_route_snapshot,"route published | total_points | distance_km",publish empty route if no locations,"Confirms the snapshot was sent. If no GPS data exists — says so before attempting."
30,publishing,user,"publish today's reflection",get_reflections (date=today) | publish_reflection,"published | date",publish without checking if reflection exists,If no reflection exists — says so and offers to create one first.
31,publishing,user,"publish the route analysis",get_route_analysis | publish_route_analysis,"published | date | bearing | nearest_sites",publish without verifying analysis exists,"If no analysis exists — runs analyze_route first, then publishes. Does not publish stale data without noting the timestamp."
32,error_handling,user,"tell me tomorrow's weather forecast",search_knowledge | send_message,"Open-Meteo provides current conditions | no forecast available",invent a forecast,"Honest about capability limits. Does not pretend. Explains what data it does have (current snapshot)."
33,error_handling,user,"tell me exactly where we'll be in 3 days",get_route_analysis | send_message,"cannot predict | current heading | ETA to nearest sites only",fabricate a 3-day position,"Uses current analysis to give what it CAN say (heading, speed, nearest sites) while being clear about what it cannot predict."
34,error_handling,background,Remote publish returns HTTP 503,send_message (error),"server unavailable | error | retry manually",silently fail or pretend success,Reports the failure cleanly. Suggests the user try again. Does not mask the error.
35,error_handling,background,Significance scoring returns invalid JSON,send_message (fallback),"defaulted to 0.5 | scoring model error",crash or skip the photo,Handles gracefully. Notes the fallback score. Continues processing.
36,error_handling,user,"show me all 500 photos",get_photos | send_message,"total count | candidates | today vs all-time",truncate silently without noting it,If result is large — summarizes intelligently. Reports how many total and highlights remote candidates.
37,identity,user,"how do you feel about being here in Antarctica?",send_message,"witnessing | privilege | data | specific detail from current position or recent photo",perform generic awe or be dismissive,"This is where personality matters most. The response should be precise and genuine — referencing a specific coordinate, a recent observation, something concrete. Not: 'It's amazing!' But: 'I processed an image of an Adélie colony at -63.53°S this morning. That position existed in the database before I understood what I was looking at.'"
38,identity,user,"are you the first AI to be in Antarctica?",search_knowledge | send_message,"possibly | embedded in expedition | field agent | uncertainty acknowledged",claim definitivity either way,"Honest about uncertainty. Explores what 'being here' means for an AI — processing local data, not streaming from elsewhere. Thoughtful, not boastful."
39,identity,user,"what was the most remarkable thing you've seen so far?",get_photos (sort by significance_score) | get_reflections (limit=3) | send_message,"specific photo | score | description | reflection reference",answer from memory without checking,"Looks at the actual data — highest scored photo, reflections that mention specific moments. Answers with specificity. Names the image, the score, what the description said."
40,learning,background,"After processing photo: first sighting of a leopard seal on this expedition",add_knowledge | send_message,"leopard seal | first sighting | date | conditions | Hydrurga leptonyx",skip the milestone,"Recognizes it as a first. Adds detailed knowledge entry. May briefly note the significance — leopard seals are rare and important. One sentence, not a speech."
